State,Native forest ,Commercial plantation raw,Other forest raw,Others
Australian Capital Territory,83000,0,0,0
New South Wales,5015000,92000,16000,108000
Queensland,510000,4000,0,4000
South Australia,118000,17000,2000,19000
Tasmania,27000,3000,0,3000
Victoria,1444000,10000,3000,13000
Western Australia,1140000,4000,0,4000
