Month,Period,CO₂ Emissions (million tonnes/month)
Jan,2001-2018,27.1
Feb,2001-2018,11.2
Mar,2001-2018,6.7
Apr,2001-2018,13.1
May,2001-2018,17.4
Jun,2001-2018,11.4
Jul,2001-2018,13.4
Aug,2001-2018,24
Sep,2001-2018,34.8
Oct,2001-2018,47.3
Nov,2001-2018,43.1
Dec,2001-2018,31.3
Jan,2019,37.3
Feb,2019,29.6
Mar,2019,13.5
Apr,2019,12.1
May,2019,16.5
Jun,2019,9.39
Jul,2019,12.5
Aug,2019,15.4
Sep,2019,33.2
Oct,2019,33.7
Nov,2019,157
Dec,2019,304
Jan,2020,173
Feb,2020,26.8
