state,Month,rainfall_anomaly,temp_anomaly,solar_anomaly,windspeed_anomaly,month_num,temp_anomaly_lowess,rainfall_anomaly_lowess,solar_anomaly_lowess,windspeed_anomaly_lowess
SA,2014-01-01,-0.4581603788632954,1.276622173625352,2.150116922769154,0.2611467848697222,1388534400.0,0.23272134953701387,0.32266590563815056,0.17931230046058635,0.21001647769380907
SA,2014-02-01,0.979353561393634,-0.3573322947911847,-0.344311537155324,0.2650326444256583,1391212800.0,0.21481447748751134,0.29954427799857664,0.04256654596136585,0.1504637260743733
SA,2014-03-01,-0.0393142460466954,-0.2257750042662003,0.3352413270830503,-0.193260440924635,1393632000.0,0.20679022745949438,0.2673247497342807,-0.061445740545508325,0.10111276459621049
SA,2014-04-01,0.5152314460204416,-0.5786543177777544,-0.6938600476413797,0.1609497796496031,1396310400.0,0.19982293243469887,0.21807766370667736,-0.15379911474113447,0.050009862651926695
SA,2014-05-01,0.2177048161344405,1.2630615639486038,-0.4004080498117428,-0.4510453015597852,1398902400.0,0.20114138377725457,0.1539341302395335,-0.21838565018586067,0.0033396242473555135
SA,2014-06-01,0.6292045168883406,0.1784307604650514,-0.6444504261202084,0.6930003004067644,1401580800.0,0.2864830407303863,0.04515876682516124,-0.23842963092389413,-0.04350204364579325
SA,2014-07-01,-0.0407259123194481,-0.2225079215325092,-0.6715793520114647,-0.0029258639737816,1404172800.0,0.5178431384683477,-0.09356660263644713,-0.13355654430704048,-0.0687008258822572
SA,2014-08-01,-1.055407449384083,0.3179043255869054,0.5370994018931494,-0.9664944935752886,1406851200.0,0.6571806597025039,-0.22455679188714803,0.010251482070555335,-0.08126694218841363
SA,2014-09-01,-0.6092044055356663,1.6366022659832922,0.4537989002356717,-0.0620506714168245,1409529600.0,0.5641470019928779,-0.3427762190621424,0.17609139945443,-0.06734419209188137
SA,2014-10-01,-0.4354785701958258,1.4826572843913013,0.5269206561393956,-0.2455520759193294,1412121600.0,0.35537979386700325,-0.40367928452941926,0.2961280604441813,-0.04062046901762141
SA,2014-11-01,-0.39272081870993,1.0537165568237654,-0.0734348640145157,0.0103128654588067,1414800000.0,0.0782841528268631,-0.3939009078029171,0.37623034825067525,-0.010013135530386916
SA,2014-12-01,-0.398622257066796,-1.5606772154331772,1.0738909510457797,0.0330053784343187,1417392000.0,-0.30875734527427845,-0.33139866174417953,0.3791661826069071,0.029958788414265133
SA,2015-01-01,0.2851318957641637,-1.8503564643817505,-0.7718059108804382,0.2588283672536837,1420070400.0,-0.8195866678839409,-0.24346387110805243,0.30119549169996235,0.07778983877609044
SA,2015-02-01,-0.6685687269550445,1.781977156652566,1.1989433538361745,0.1073755178582693,1422748800.0,-1.2210345259351512,-0.17062909943780244,0.19422123821063683,0.1147025271513103
SA,2015-03-01,-0.2492032554342991,-1.498582861303568,0.5210161620843045,0.0228454654388299,1425168000.0,-1.3739454501976227,-0.14879987586116428,0.1028683689935751,0.10978934029156089
SA,2015-04-01,0.5538651419003513,-2.947045230983832,-0.8947881522165364,0.2909184569146381,1427846400.0,-1.342037862070659,-0.15507141191510912,-0.020430188482357954,0.06586998087872574
SA,2015-05-01,-0.0174570821298116,-1.2088322859080591,-0.1287374559719065,0.1832876227081259,1430438400.0,-1.2334021615234316,-0.16601173739523742,-0.14781399210207805,0.006378289464278094
SA,2015-06-01,-0.448859714003946,-0.277688580115555,-0.2595489101909915,-0.1487572909357819,1433116800.0,-1.033716672932883,-0.18037624214000406,-0.21290939024534297,-0.06062236066874903
SA,2015-07-01,-0.2861139936539964,-1.0700591739594998,-0.3976577833840035,-0.2820466735879483,1435708800.0,-0.6586050771024686,-0.2258455769195257,-0.12180206976402103,-0.1257712984108345
SA,2015-08-01,-0.1250300082159037,-0.7456970914380463,-0.7507848165553755,-0.1455089427254785,1438387200.0,-0.20248501642047226,-0.27776984946320693,0.13096144532257614,-0.17682278589652028
SA,2015-09-01,-0.4842897890974886,-0.069168164124207,0.4366551093859847,-0.3905630708384135,1441065600.0,0.17471469532530137,-0.29050551311355277,0.4123473608595819,-0.19150402674689213
SA,2015-10-01,-0.4383953150588463,2.703255896645768,0.9784450078155196,-0.2756937334983966,1443657600.0,0.35704230791344266,-0.26233085272818973,0.611710503260957,-0.1748750025138485
SA,2015-11-01,0.0674249169051461,0.6141868562520613,1.4506958549397844,0.0704814614754605,1446336000.0,0.4147766000998847,-0.19887026370079686,0.735721042675419,-0.14843640993863633
SA,2015-12-01,-0.5602650723253576,2.4019448895262627,1.7921412193405644,-0.1620209948193496,1448928000.0,0.42666558923629994,-0.10397953223989384,0.7600038803234916,-0.12882666880068774
SA,2016-01-01,0.0487808739084225,-0.3865039240212517,-0.4071835681799278,-0.0069204452772781,1451606400.0,0.38004672594787964,0.006959968305090552,0.7182055630777315,-0.11707337222466414
SA,2016-02-01,0.1802190523808139,-0.975152371858666,0.7788975312880096,-0.0550808074199409,1454284800.0,0.24025752356913396,0.1263318424539003,0.5935780569477633,-0.11996782371235798
SA,2016-03-01,0.5069706234550077,-0.1464150996144404,-1.2307806589857044,-0.3150495985512709,1456790400.0,0.09059509369699213,0.25873286655108596,0.4152177711125665,-0.0970232552435193
SA,2016-04-01,-0.7113718743675908,0.8566580059161844,1.050460213796546,-0.1695850123942639,1459468800.0,-0.022126444373810207,0.3905568758296851,0.25925698722169727,-0.058305556362425355
SA,2016-05-01,0.5040487526185518,0.5700708169484194,0.1772018229654754,0.667243318910649,1462060800.0,-0.036318625890626434,0.4602076741953697,0.19471194045471238,-0.04647640399667356
